MAP,ROUND,TEAM_WON,T1H1,T1P1,T1H2,T1P2,T1H3,T1P3,T1H4,T1P4,T1H5,T1P5,T1H6,T1P6,T2H1,T2P1,T2H2,T2P2,T2H3,T2P3,T2H4,T2P4,T2H5,T2P5,T2H6,T2P6,ACT_LOG
OASIS,1,SFS,MCCREE,STRIKER,MEI,SINATRAA,REINHARDT,SUPER,DVA,CHOIHYOBIN,ANA,ARCHITECT,LUCIO,MOTH,MEI,DOHA,REAPER,DECAY,ORISA,GAMSU,REINHARDT,TRILL,BAPTISTE,CRIMZO,LUCIO,CLOSER,"DECAY(CLOSER)->SUPER,CHOIHYOBIN(MOTH/STRIKER)->DECAY,CHOIHYOBIN(ARCHITECT)->CRIMZO,CLOSER(GAMSU)->ARCHITECT,STRIKER->DOHA,TRILL(GAMSU)->STRIKER,SINATRAA->TRILL,CHOIHYOBIN(MOTH)->CLOSER,SINATRAA(MOTH)->GAMSU"
OASIS,1,SFS,MCCREE,STRIKER,MEI,SINATRAA,REINHARDT,SUPER,DVA,CHOIHYOBIN,ANA,ARCHITECT,LUCIO,MOTH,MEI,DOHA,MCCREE,DECAY,ORISA,GAMSU,REINHARDT,TRILL,BAPTISTE,CRIMZO,LUCIO,CLOSER,"STRIKER->ULT,STRIKER->TRILL,STRIKER->GAMSU,DECAY->SINATRAA,DECAY->STRIKER,ARCHITECT->ULT"
OASIS,1,DAL,TRACER,STRIKER,MEI,SINATRAA,REINHARDT,SUPER,DVA,CHOIHYOBIN,ANA,ARCHITECT,LUCIO,MOTH,MEI,DOHA,MCCREE,DECAY,ORISA,GAMSU,REINHARDT,TRILL,BAPTISTE,CRIMZO,LUCIO,CLOSER,"SINATRAA->ULT,MOTH->ULT->(STRIKER/SINATRAA/SUPER/CHOIHYOBIN/ARCHITECT),CRIMZO->ULT,MOTH(SINATRAA)->TRILL,CLOSER->ULT->(DOHA/DECAY/GAMSU/CRIMZO),CHOIHYOBIN->ULT,DECAY->CHOIHYOBIN,CHOIHYOBIN->WRECKINGBALL,DOHA->ULT,SUPER->ULT,DECAY->ULT,DOHA->SINATRAA,GAMSU->ULT,CRIMZO(GAMSU)->SUPER,DECAY(GAMSU)->SUPER,DECAY(GAMSU)->STRIKER,DOHA(GAMSU)->CHOIHYOBIN"
OASIS,1,SFS,TRACER,STRIKER,MEI,SINATRAA,REINHARDT,SUPER,DVA,CHOIHYOBIN,ANA,ARCHITECT,LUCIO,MOTH,MEI,DOHA,MCCREE,DECAY,ORISA,GAMSU,REINHARDT,TRILL,BAPTISTE,CRIMZO,LUCIO,CLOSER,"ARCHITECT->ULT,STRIKER->ULT,CLOSER(GAMSU)->SINATRAA,STRIKER(SINATRAA/ARCHITECT)->TRILL,SINATRAA->DOOMFIST,DECAY->ULT<-ARCHITECT,SUPER(ARCHITECT)->DECAY,GAMSU(CLOSER/DOHA)->SUPER,CRIMZO->ULT,CHOIHYOBIN(MOTH/ARCHITECT)->DOHA,SINATRAA->GAMSU,SINATRAA(ARCHITECT)->CRIMZO,SINATRAA(MOTH/ARCHITECT)->CLOSER"
OASIS,1,SFS,TRACER,STRIKER,DOOMFIST,SINATRAA,REINHARDT,SUPER,DVA,CHOIHYOBIN,ANA,ARCHITECT,LUCIO,MOTH,MEI,DOHA,MCCREE,DECAY,ORISA,GAMSU,REINHARDT,TRILL,MOIRA,CRIMZO,LUCIO,CLOSER,"TRILL->ULT,DECAY(GAMSU/TRILL)->ARCHITECT,SINATRAA->CLOSER,MOTH->ULT->(STRIKER/SINATRAA/SUPER/CHOIHYOBIN),STRIKER(ARCHITECT)->CRIMZO,STRIKER->ULT,STRIKER->TRILL,SUPER->ULT,STRIKER(SUPER)->GAMSU,DOHA->ULT<-CHOIHYOBIN,MOTH->DOHA"
OASIS,2,DAL,MCCREE,STRIKER,MEI,SINATRAA,REINHARDT,SUPER,DVA,CHOIHYOBIN,ANA,ARCHITECT,LUCIO,MOTH,MEI,DOHA,MCCREE,DECAY,ORISA,GAMSU,REINHARDT,TRILL,BAPTISTE,CRIMZO,LUCIO,CLOSER,"TRILL(GAMSU)->MOTH,CHOIHYOBIN->DECAY,GAMSU(CLOSER)->SUPER,GAMSU(TRILL)->CHOIHYOBIN,CLOSER(GAMSU)->STRIKER"
OASIS,2,DAL,MCCREE,STRIKER,MEI,SINATRAA,REINHARDT,SUPER,DVA,CHOIHYOBIN,ANA,ARCHITECT,LUCIO,MOTH,MEI,DOHA,MCCREE,DECAY,ORISA,GAMSU,REINHARDT,TRILL,BAPTISTE,CRIMZO,LUCIO,CLOSER,"TRILL->SINATRAA,CRIMZO->ULT,DECAY(CRIMZO)->SUPER,STRIKER(ARCHITECT)->DOHA,TRILL(CRIMZO)->CHOIHYOBIN,CLOSER(CRIMZO/GAMSU)->MOTH"
OASIS,2,DAL,MCCREE,STRIKER,MEI,SINATRAA,REINHARDT,SUPER,DVA,CHOIHYOBIN,ANA,ARCHITECT,LUCIO,MOTH,MEI,DOHA,MCCREE,DECAY,ORISA,GAMSU,REINHARDT,TRILL,BAPTISTE,CRIMZO,LUCIO,CLOSER,"TRILL->ULT,STRIKER->ULT<-DOHA,DECAY->ULT,ARCHITECT->ULT,GAMSU->ULT,DECAY(GAMSU)->SUPER"
OASIS,2,SFS,MCCREE,STRIKER,MEI,SINATRAA,REINHARDT,SUPER,DVA,CHOIHYOBIN,ANA,ARCHITECT,LUCIO,MOTH,MEI,DOHA,MCCREE,DECAY,ORISA,GAMSU,REINHARDT,TRILL,BAPTISTE,CRIMZO,LUCIO,CLOSER,"SINATRAA->ULT,GAMSU->ULT,CLOSER->ULT->(DOHA/GAMSU/TRILL/CRIMZO),SINATRAA(ARCHITECT)->GAMSU,STRIKER(MOTH/SUPER)->DOHA,SINATRAA(MOTH)->TRILL"
OASIS,2,SFS,MCCREE,STRIKER,MEI,SINATRAA,REINHARDT,SUPER,DVA,CHOIHYOBIN,ANA,ARCHITECT,LUCIO,MOTH,MEI,DOHA,MCCREE,DECAY,ORISA,GAMSU,REINHARDT,TRILL,BAPTISTE,CRIMZO,LUCIO,CLOSER,"CRIMZO->ULT,ARCHITECT->ULT,MOTH->ULT->(STRIKER/SINATRAA/SUPER/CHOIHYOBIN/ARCHITECT),SUPER(ARCHITECT)->TRILL,SUPER(ARCHITECT)->DOHA,STRIKER->CRIMZO"
